# Year	Month	Mean_T	Sum_P	Sum_pet
2104	1	3.54839	49.3	15.3
2105	1	4.28065	117.7	21.1
2106	1	2.16452	131.1	12.5
2107	1	2.30968	91.2	17.8
2108	1	5.70323	66.2	20.5
2109	1	-0.129032	53.7	10.6
2110	1	2.60645	63.1	12.7
2111	1	-0.129032	53.7	10.6
2112	1	4.93226	77.2	18.1
2113	1	5.05806	65	18.2
2114	1	2.80323	53.5	12.4
2115	1	1.34194	69.9	11.5
2116	1	-1.22903	6.2	9.5
2117	1	2.74839	103.4	11.2
2118	1	1.54375	138.4	13.5
2119	1	4.28065	117.7	21.1
2120	1	2.95806	189.7	17.2
2121	1	1.74839	113.4	12.7
2122	1	2.02903	120.4	14.5
2123	1	3.45484	80.8	19.4
2124	1	3.45484	80.8	19.4
2125	1	5.33548	105.6	19.5
2126	1	1.74839	113.4	12.7
2127	1	4.51935	55.9	15.5
2128	1	1.49355	13.3	12.6
2129	1	2.06129	74	14.5
2130	1	4.93226	77.2	18.1
2131	1	-1.16129	39.5	9
2132	1	4.03548	98.4	17.9
2133	1	-0.0967742	45	13.1
2134	1	4.12258	103.8	13.7
2135	1	4.28065	117.7	21.1
2136	1	5.70323	66.2	20.5
2137	1	2.60645	63.1	12.7
2138	1	-0.177419	65.4	10.2
2139	1	2.1129	92.8	12.4
2140	1	1.1871	106.5	12.1
2141	1	-0.129032	53.7	10.6
2142	1	1.94516	52.7	16
2143	1	1.74839	113.4	12.7
2144	1	2.95806	189.7	17.2
2145	1	1.1871	106.5	12.1
2146	1	2.5871	111.5	12.5
2147	1	4.12258	103.8	13.7
2148	1	2.84839	144.8	17.2
2149	1	1.63226	29.3	11.5
2150	1	1.45484	92	12.4
2151	1	0.335484	60.9	13.8
2152	1	3.70645	134.8	14.6
2153	1	2.31613	108.6	12.5
2154	1	4.51935	55.9	15.5
2155	1	-4.77097	71.9	8.5
2156	1	1.1871	106.5	12.1
2157	1	1.63226	29.3	11.5
2158	1	-4.77097	71.9	8.5
2159	1	2.02903	120.4	14.5
2160	1	1.71613	33.1	13.6
2161	1	5.33548	105.6	19.5
2162	1	-0.129032	53.7	10.6
2163	1	1.1871	106.5	12.1
2164	1	5.16129	108.9	18
2165	1	1.1871	106.5	12.1
2166	1	1.94516	52.7	16
2167	1	1.63226	29.3	11.5
2168	1	5.26774	71.6	17.3
2169	1	2.80323	53.5	12.4
2170	1	5.76129	95.9	19.9
2171	1	2.80323	53.5	12.4
2172	1	2.74839	103.4	11.2
2173	1	2.02903	120.4	14.5
2174	1	5.33548	105.6	19.5
2175	1	2.60645	63.1	12.7
2176	1	-3.96452	43.4	9.5
2177	1	1.54375	138.4	13.5
2178	1	5.70323	66.2	20.5
2179	1	3.97419	61.6	19.8
2180	1	2.02903	120.4	14.5
2181	1	1.34194	69.9	11.5
2182	1	2.02903	120.4	14.5
2183	1	5.70323	66.2	20.5
2184	1	4.28065	117.7	21.1
2185	1	1.94516	52.7	16
2186	1	1.45484	92	12.4
2187	1	-5.675	36.3	8.1
2188	1	3.97097	41	15.4
2189	1	5.26774	71.6	17.3
2190	1	-1.16129	39.5	9
2191	1	1.1871	106.5	12.1
2192	1	4.03548	98.4	17.9
2193	1	4.28065	117.7	21.1
2194	1	-0.0967742	45	13.1
2195	1	2.84516	99.7	13.1
2196	1	-0.7	58.4	11.6
2197	1	3.40645	85.2	16.5
2198	1	0.390323	22.5	10.8
2199	1	4.03548	98.4	17.9
2200	1	2.74839	103.4	11.2
2201	1	2.16452	131.1	12.5
2202	1	-1.22903	6.2	9.5
2203	1	1.49355	13.3	12.6
2204	1	3.97419	61.6	19.8
2205	1	5.70323	66.2	20.5
2206	1	-4.77097	71.9	8.5
2207	1	1.63226	29.3	11.5
2208	1	-3.86452	57.7	9.6
2209	1	2.06129	74	14.5
2210	1	2.16452	131.1	12.5
2211	1	2.80323	53.5	12.4
2212	1	2.60645	63.1	12.7
2213	1	-0.7	58.4	11.6
2214	1	5.76129	95.9	19.9
2215	1	0.235484	23.7	8.5
2216	1	4.03548	98.4	17.9
2217	1	1.71613	33.1	13.6
2218	1	-4.77097	71.9	8.5
2219	1	2.16452	131.1	12.5
2220	1	2.35484	41.9	14
2221	1	-0.0967742	45	13.1
2222	1	-0.177419	65.4	10.2
2223	1	4.12258	103.8	13.7
2224	1	1.1871	106.5	12.1
2225	1	1.13871	54.3	11.2
2226	1	5.16129	108.9	18
2227	1	2.95806	189.7	17.2
2228	1	1.13871	54.3	11.2
2229	1	5.16129	108.9	18
2230	1	0.390323	22.5	10.8
2231	1	5.76129	95.9	19.9
2232	1	0.335484	60.9	13.8
2233	1	1.45484	92	12.4
2234	1	3.97419	61.6	19.8
2235	1	3.70645	134.8	14.6
2236	1	4.6	106	20.8
2237	1	2.06129	74	14.5
2238	1	4.03548	98.4	17.9
2239	1	3.28387	86.2	15
2240	1	2.35484	41.9	14
2241	1	4.28065	117.7	21.1
2242	1	1.1871	106.5	12.1
2243	1	1.34194	69.9	11.5
2244	1	1.72581	118.4	15.7
2245	1	2.84839	144.8	17.2
2246	1	-0.0967742	45	13.1
2247	1	3.45484	80.8	19.4
2248	1	2.02903	120.4	14.5
2249	1	5.76129	95.9	19.9
2250	1	2.02903	120.4	14.5
2251	1	3.33548	67.5	17.4
2252	1	-1.16129	39.5	9
2253	1	1.49355	13.3	12.6
2254	1	0.390323	22.5	10.8
2255	1	2.5871	111.5	12.5
2256	1	0.335484	60.9	13.8
2257	1	0.390323	22.5	10.8
2258	1	-4.77097	71.9	8.5
2259	1	2.31613	108.6	12.5
2260	1	1.94516	52.7	16
2261	1	1.94516	52.7	16
2262	1	3.97097	41	15.4
2263	1	2.1129	92.8	12.4
2264	1	2.5871	111.5	12.5
2265	1	1.71613	33.1	13.6
2266	1	4.39032	113.8	16.9
2267	1	3.40645	85.2	16.5
2268	1	-3.96452	43.4	9.5
2269	1	2.16452	131.1	12.5
2270	1	5.70323	66.2	20.5
2271	1	3.33548	67.5	17.4
2272	1	1.34194	69.9	11.5
2273	1	3.54839	49.3	15.3
2274	1	-0.7	58.4	11.6
2275	1	1.71613	33.1	13.6
2276	1	1.94516	52.7	16
2277	1	2.35484	41.9	14
2278	1	5.16129	108.9	18
2279	1	-5.675	36.3	8.1
2280	1	2.60645	63.1	12.7
2281	1	3.33548	67.5	17.4
2282	1	3.45484	80.8	19.4
2283	1	2.02903	120.4	14.5
2284	1	3.37419	30.9	12.3
2285	1	0.335484	60.9	13.8
2286	1	0.235484	23.7	8.5
2287	1	-3.86452	57.7	9.6
2288	1	4.39032	113.8	16.9
2289	1	-5.675	36.3	8.1
2290	1	2.31613	108.6	12.5
2291	1	2.84839	144.8	17.2
2292	1	2.35484	41.9	14
2293	1	2.06129	74	14.5
2294	1	4.93226	77.2	18.1
2295	1	1.73226	57.3	11.4
2296	1	5.70323	66.2	20.5
2297	1	4.39032	113.8	16.9
2298	1	3.45484	80.8	19.4
2299	1	-0.177419	65.4	10.2
2300	1	4.28065	117.7	21.1
2301	1	-4.77097	71.9	8.5
2302	1	2.31613	108.6	12.5
2303	1	1.34194	69.9	11.5
2304	1	2.84839	144.8	17.2
2305	1	1.72581	118.4	15.7
2306	1	1.1871	106.5	12.1
2307	1	1.73226	57.3	11.4
2308	1	1.45484	92	12.4
2309	1	1.71613	33.1	13.6
2310	1	2.74839	103.4	11.2
2311	1	5.05806	65	18.2
2312	1	-0.129032	53.7	10.6
2313	1	2.80323	53.5	12.4
2314	1	1.1871	106.5	12.1
2315	1	1.74839	113.4	12.7
2316	1	1.74839	113.4	12.7
2317	1	1.34194	69.9	11.5
2318	1	4.12258	103.8	13.7
2319	1	-1.16129	39.5	9
2320	1	3.97097	41	15.4
2321	1	-3.96452	43.4	9.5
2322	1	2.02903	120.4	14.5
2323	1	1.34194	69.9	11.5
2324	1	5.76129	95.9	19.9
2325	1	2.02903	120.4	14.5
2326	1	3.97419	61.6	19.8
2327	1	2.31613	108.6	12.5
2328	1	0.335484	60.9	13.8
2329	1	-0.177419	65.4	10.2
2330	1	5.76129	95.9	19.9
2331	1	1.34194	69.9	11.5
2332	1	2.1129	92.8	12.4
2333	1	1.1871	106.5	12.1
2334	1	5.76129	95.9	19.9
2335	1	0.390323	22.5	10.8
2336	1	4.93226	77.2	18.1
2337	1	3.33548	67.5	17.4
2338	1	1.13871	54.3	11.2
2339	1	-4.77097	71.9	8.5
2340	1	1.54375	138.4	13.5
2341	1	1.63226	29.3	11.5
2342	1	-0.0967742	45	13.1
2343	1	3.40645	85.2	16.5
2344	1	2.95806	189.7	17.2
2345	1	-0.177419	65.4	10.2
2346	1	1.45484	92	12.4
2347	1	3.54839	49.3	15.3
2348	1	-0.0967742	45	13.1
2349	1	3.70645	134.8	14.6
2350	1	4.51935	55.9	15.5
2351	1	1.45484	92	12.4
2352	1	2.02903	120.4	14.5
2353	1	3.37419	30.9	12.3
2354	1	1.73226	57.3	11.4
2355	1	1.63226	29.3	11.5
2356	1	3.97097	41	15.4
2357	1	4.93226	77.2	18.1
2358	1	-1.22903	6.2	9.5
2359	1	4.6	106	20.8
2360	1	2.35484	41.9	14
2361	1	-3.86452	57.7	9.6
2362	1	2.30968	91.2	17.8
2363	1	1.71613	33.1	13.6
2364	1	1.74839	113.4	12.7
2365	1	2.74839	103.4	11.2
2366	1	1.74839	113.4	12.7
2367	1	2.84839	144.8	17.2
2368	1	5.26774	71.6	17.3
2369	1	1.1871	106.5	12.1
2370	1	3.33548	67.5	17.4
2371	1	2.02903	120.4	14.5
2372	1	4.28065	117.7	21.1
2373	1	1.49355	13.3	12.6
2374	1	1.71613	33.1	13.6
2375	1	5.70323	66.2	20.5
2376	1	0.390323	22.5	10.8
2377	1	-4.77097	71.9	8.5
2378	1	3.97097	41	15.4
2379	1	-1.22903	6.2	9.5
2380	1	-5.675	36.3	8.1
2381	1	-1.22903	6.2	9.5
2382	1	5.05806	65	18.2
2383	1	0.390323	22.5	10.8
2384	1	-0.7	58.4	11.6
2385	1	2.84516	99.7	13.1
2386	1	-0.7	58.4	11.6
2387	1	1.49355	13.3	12.6
2388	1	3.33548	67.5	17.4
2389	1	-3.86452	57.7	9.6
2390	1	4.51935	55.9	15.5
2391	1	3.28387	86.2	15
2392	1	2.84839	144.8	17.2
2393	1	1.54375	138.4	13.5
2394	1	-0.177419	65.4	10.2
2395	1	5.05806	65	18.2
2396	1	-1.22903	6.2	9.5
2397	1	-0.7	58.4	11.6
2398	1	2.74839	103.4	11.2
2399	1	-0.129032	53.7	10.6
2400	1	4.28065	117.7	21.1
2401	1	-1.22903	6.2	9.5
2402	1	3.33548	67.5	17.4
2403	1	3.33548	67.5	17.4
2404	1	3.97419	61.6	19.8
2405	1	2.5871	111.5	12.5
2406	1	2.5871	111.5	12.5
2407	1	3.97097	41	15.4
2408	1	2.06129	74	14.5
2409	1	1.72581	118.4	15.7
2410	1	1.94516	52.7	16
2411	1	3.97419	61.6	19.8
2412	1	2.95806	189.7	17.2
2413	1	2.5871	111.5	12.5
2414	1	1.13871	54.3	11.2
2415	1	2.84839	144.8	17.2
2416	1	5.16129	108.9	18
2417	1	1.1871	106.5	12.1
2418	1	-0.177419	65.4	10.2
2419	1	2.5871	111.5	12.5
2420	1	4.6	106	20.8
2421	1	3.97097	41	15.4
2422	1	-3.96452	43.4	9.5
2423	1	1.72581	118.4	15.7
2424	1	3.33548	67.5	17.4
2425	1	4.6	106	20.8
2426	1	4.6	106	20.8
2427	1	-3.96452	43.4	9.5
2428	1	1.1871	106.5	12.1
2429	1	4.51935	55.9	15.5
2430	1	1.13871	54.3	11.2
2431	1	2.60645	63.1	12.7
2432	1	4.03548	98.4	17.9
2433	1	3.33548	67.5	17.4
2434	1	2.84839	144.8	17.2
2435	1	1.13871	54.3	11.2
2436	1	3.70645	134.8	14.6
2437	1	2.74839	103.4	11.2
2438	1	-4.77097	71.9	8.5
2439	1	5.76129	95.9	19.9
2440	1	-1.16129	39.5	9
2441	1	3.97097	41	15.4
2442	1	1.94516	52.7	16
2443	1	4.39032	113.8	16.9
2444	1	5.26774	71.6	17.3
2445	1	3.28387	86.2	15
2446	1	1.1871	106.5	12.1
2447	1	2.5871	111.5	12.5
2448	1	2.74839	103.4	11.2
2449	1	0.335484	60.9	13.8
2450	1	0.335484	60.9	13.8
2451	1	2.60645	63.1	12.7
2452	1	1.54375	138.4	13.5
2453	1	2.1129	92.8	12.4
2454	1	4.51935	55.9	15.5
2455	1	4.12258	103.8	13.7
2456	1	3.33548	67.5	17.4
2457	1	5.70323	66.2	20.5
2458	1	-3.96452	43.4	9.5
2459	1	-1.22903	6.2	9.5
2460	1	3.37419	30.9	12.3
2461	1	0.235484	23.7	8.5
2462	1	3.70645	134.8	14.6
2463	1	-0.7	58.4	11.6
2464	1	1.1871	106.5	12.1
2465	1	1.1871	106.5	12.1
2466	1	1.45484	92	12.4
2467	1	-1.16129	39.5	9
2468	1	2.5871	111.5	12.5
2469	1	3.54839	49.3	15.3
2470	1	5.16129	108.9	18
2471	1	0.235484	23.7	8.5
2472	1	1.49355	13.3	12.6
2473	1	4.12258	103.8	13.7
2474	1	4.39032	113.8	16.9
2475	1	4.39032	113.8	16.9
2476	1	3.33548	67.5	17.4
2477	1	1.63226	29.3	11.5
2478	1	4.28065	117.7	21.1
2479	1	2.74839	103.4	11.2
2480	1	1.72581	118.4	15.7
2481	1	1.73226	57.3	11.4
2482	1	2.74839	103.4	11.2
2483	1	3.40645	85.2	16.5
2484	1	4.51935	55.9	15.5
2485	1	3.45484	80.8	19.4
2486	1	2.84516	99.7	13.1
2487	1	1.45484	92	12.4
2488	1	3.40645	85.2	16.5
2489	1	1.13871	54.3	11.2
2490	1	1.45484	92	12.4
2491	1	3.54839	49.3	15.3
2492	1	3.97097	41	15.4
2493	1	5.70323	66.2	20.5
2494	1	1.45484	92	12.4
2495	1	2.1129	92.8	12.4
2496	1	1.49355	13.3	12.6
2497	1	4.12258	103.8	13.7
2498	1	3.97097	41	15.4
2499	1	2.60645	63.1	12.7
2500	1	2.84516	99.7	13.1
1900	2	1.58966	95.5	18.4
1901	2	1.125	27.6	13.8
1902	2	1.46786	74.3	14.5
1903	2	-1.36071	26.5	16.9
1904	2	5.79286	119.4	21.1
1905	2	4.73793	68.2	25.6
1906	2	4.78276	97.6	23.8
1907	2	3.69655	65.9	23.2
1908	2	-1.44483	37.6	14.2
1909	2	5.55	55.9	24.7
1910	2	4.57143	52.8	31
1911	2	3.61786	77.9	18.1
1912	2	-0.832143	27.3	19.2
1913	2	2.83214	17.6	21.7
1914	2	-3.45357	20.8	15.6
1915	2	2.83214	17.6	21.7
1916	2	5.01034	58.6	23
1917	2	6.25357	179.9	27.2
1918	2	-1.44483	37.6	14.2
1919	2	0.137931	29.8	15.4
1920	2	2.16207	75.8	16.9
1921	2	4.19286	39.4	17.9
1922	2	5.01034	58.6	23
1923	2	3.71786	50.6	21.5
1924	2	7.1	103.1	35.4
1925	2	-5.825	7.8	15.3
1926	2	0.0931035	84.7	15.1
1927	2	1.43214	31	19.2
1928	2	4.25172	26.6	19.8
1929	2	4.57143	52.8	31
1930	2	4.95172	62.6	25.7
1931	2	4.77857	10.5	24.1
1932	2	-3.45357	20.8	15.6
1933	2	1.8069	56.6	16.3
1934	2	3.97586	115.6	22.5
1935	2	0.137931	29.8	15.4
1936	2	5.79286	119.4	21.1
1937	2	-1.44483	37.6	14.2
1938	2	1.31786	134	16.1
1939	2	6.45714	60.4	30.4
1940	2	2.37241	58	17.7
1941	2	-1.36071	26.5	16.9
1942	2	3.97586	115.6	22.5
1943	2	1.05	85.8	15.7
1944	2	0.4	62.9	13.9
1945	2	4.25172	26.6	19.8
1946	2	3.20345	101.3	23
1947	2	5.01034	58.6	23
1948	2	1.43214	31	19.2
1949	2	3.69655	65.9	23.2
1950	2	-5.825	7.8	15.3
1951	2	2.5	70.1	16
1952	2	-1.44483	37.6	14.2
1953	2	3.71786	50.6	21.5
1954	2	-1.36071	26.5	16.9
1955	2	6.45714	60.4	30.4
1956	2	2.37241	58	17.7
1957	2	-5.825	7.8	15.3
1958	2	5.32857	64.6	21.3
1959	2	-5.825	7.8	15.3
1960	2	3.79643	72.9	20.4
1961	2	3.71786	50.6	21.5
1962	2	0.4	62.9	13.9
1963	2	3.79643	72.9	20.4
1964	2	2.83214	17.6	21.7
1965	2	1.8069	56.6	16.3
1966	2	0.0931035	84.7	15.1
1967	2	4.78276	97.6	23.8
1968	2	-1.36071	26.5	16.9
1969	2	0.428571	49	18.5
1970	2	7.1	103.1	35.4
1971	2	2.83214	17.6	21.7
1972	2	6.45357	86.8	23.7
1973	2	6.45714	60.4	30.4
1974	2	5.79286	119.4	21.1
1975	2	5.64643	121.9	26
1976	2	0.428571	49	18.5
1977	2	3.33103	17.4	24.8
1978	2	4.73793	68.2	25.6
1979	2	1.52857	104.3	16.1
1980	2	1.8069	56.6	16.3
1981	2	1.46786	74.3	14.5
1982	2	0.0285714	51.5	15.5
1983	2	2.24643	36.2	18.4
1984	2	2.5	70.1	16
1985	2	1.8069	56.6	16.3
1986	2	4.42857	91.1	20.5
1987	2	4.95172	62.6	25.7
1988	2	5.32857	64.6	21.3
1989	2	-0.832143	27.3	19.2
1990	2	0.428571	49	18.5
1991	2	4.25172	26.6	19.8
1992	2	4.77857	10.5	24.1
1993	2	1.125	27.6	13.8
1994	2	5.79286	119.4	21.1
1995	2	-0.425	63.6	18.8
1996	2	2.1069	39.1	18.5
1997	2	6.85714	70.4	21.9
1998	2	3.79643	72.9	20.4
1999	2	-0.832143	27.3	19.2
2000	2	-0.425	63.6	18.8
2001	2	-0.160714	32.8	21.1
2002	2	-0.160714	32.8	21.1
2003	2	3.92414	26.9	19.5
2004	2	2.16207	75.8	16.9
2005	2	4.25172	26.6	19.8
2006	2	5.71071	106.2	22.7
2007	2	-5.825	7.8	15.3
2008	2	5.71071	106.2	22.7
2009	2	4.25172	26.6	19.8
2010	2	2.24643	36.2	18.4
2011	2	1.46786	74.3	14.5
2012	2	1.8069	56.6	16.3
2013	2	0.0931035	84.7	15.1
2014	2	1.125	27.6	13.8
2015	2	2.83214	17.6	21.7
2016	2	0.807143	92	13.8
2017	2	2.24643	36.2	18.4
2018	2	5.55	55.9	24.7
2019	2	3.92414	26.9	19.5
2020	2	5.55	55.9	24.7
2021	2	2.5	70.1	16
2022	2	6.25357	179.9	27.2
2023	2	3.61786	77.9	18.1
2024	2	1.05	85.8	15.7
2025	2	4.42857	91.1	20.5
2026	2	4.73793	68.2	25.6
2027	2	3.79643	72.9	20.4
2028	2	6.12759	155.7	28.7
2029	2	2.16207	75.8	16.9
2030	2	6.25357	179.9	27.2
2031	2	1.31786	134	16.1
2032	2	1.41071	28.3	23
2033	2	3.71034	49.6	21.3
2034	2	-0.832143	27.3	19.2
2035	2	0.807143	92	13.8
2036	2	3.71786	50.6	21.5
2037	2	-3.45357	20.8	15.6
2038	2	1.58214	92.1	16.4
2039	2	4.57143	52.8	31
2040	2	2.37241	58	17.7
2041	2	-1.44483	37.6	14.2
2042	2	6.25357	179.9	27.2
2043	2	3.79643	72.9	20.4
2044	2	1.43214	31	19.2
2045	2	5.32857	64.6	21.3
2046	2	4.78276	97.6	23.8
2047	2	-0.425	63.6	18.8
2048	2	1.58214	92.1	16.4
2049	2	0.4	62.9	13.9
2050	2	6.25357	179.9	27.2
2051	2	1.125	27.6	13.8
2052	2	6.85714	70.4	21.9
2053	2	2.5	70.1	16
2054	2	6.85714	70.4	21.9
2055	2	3.33103	17.4	24.8
2056	2	0.0931035	84.7	15.1
2057	2	2.5	70.1	16
2058	2	2.16207	75.8	16.9
2059	2	4.57143	52.8	31
2060	2	1.52857	104.3	16.1
2061	2	5.01034	58.6	23
2062	2	2.16207	75.8	16.9
2063	2	0.0285714	51.5	15.5
2064	2	5.55	55.9	24.7
2065	2	0.4	62.9	13.9
2066	2	0.807143	92	13.8
2067	2	1.8069	56.6	16.3
2068	2	-1.44483	37.6	14.2
2069	2	2.50714	71.1	14.6
2070	2	3.61786	77.9	18.1
2071	2	-0.160714	32.8	21.1
2072	2	6.25357	179.9	27.2
2073	2	3.20345	101.3	23
2074	2	4.57143	52.8	31
2075	2	6.25357	179.9	27.2
2076	2	-0.425	63.6	18.8
2077	2	2.83214	17.6	21.7
2078	2	5.55	55.9	24.7
2079	2	1.93214	92.4	19.3
2080	2	2.37241	58	17.7
2081	2	0.428571	49	18.5
2082	2	6.85714	70.4	21.9
2083	2	-0.175862	76.5	14.9
2084	2	6.85714	70.4	21.9
